date,rets,vix,vixann,c,rv,jump
1990-10-29,-0.00933091720285177,0.000328958862433863,31.54,0.00012016190764058,0.00012016,0.0
1990-10-30,0.0071954629360223,0.000308025925925926,30.52,0.000136957362976362,0.00013696,0.0
1990-10-31,-0.000197348946468227,0.000298413227513228,30.04,4.28374305197669e-05,4.2836999999999997e-05,0.0
1990-11-01,0.00988519063883378,0.000302600033068783,30.25,5.98545590665109e-05,5.9855e-05,0.0
1990-11-02,0.0156094109270763,0.000298214583333333,30.03,6.41321125263252e-05,6.4132e-05,0.0
1990-11-05,0.00874790075142475,0.000294650297619048,29.85,5.16968432922233e-05,5.1697e-05,0.0
1990-11-06,-0.00948570693434791,0.000280222255291005,29.11,5.70277018264263e-05,5.7028e-05,0.0
1990-11-07,-0.0181667156322368,0.00031513125,30.87,6.88199351974587e-05,6.882e-05,0.0
1990-11-08,0.00521496569901247,0.000313500033068783,30.79,0.000128629468953307,0.00012863,0.0
1990-11-09,0.01973187057211,0.000240357671957672,26.96,8.44418240826834e-05,8.4442e-05,0.0
1990-11-12,0.0181300566210939,0.000216719576719577,25.6,9.02389596408687e-05,9.0239e-05,0.0
1990-11-13,-0.00568156593871548,0.000199793783068783,24.58,5.45884473089629e-05,5.4588e-05,0.0
1990-11-14,0.00855710708373134,0.000173264583333333,22.89,4.36586395701483e-05,4.3659e-05,0.0
1990-11-15,-0.0106053518244576,0.000168454001322751,22.57,7.5733264706853e-05,7.5733e-05,0.0
1990-11-16,0.000315387771876742,0.000150593783068783,21.34,3.70677599334058e-05,3.7068e-05,0.0
1990-11-19,0.00697611476993195,0.000145139715608466,20.95,7.84263285974926e-05,7.8426e-05,0.0
1990-11-20,-0.0127000840372789,0.000133468287037037,20.09,3.11643432324291e-05,3.1164e-05,0.0
1990-11-21,0.00228086391529236,0.000147086011904762,21.09,7.39512254189123e-05,7.3951e-05,0.0
1990-11-23,-0.00294709702633967,0.000145555687830688,20.98,2.1760309821261e-05,2.176e-05,0.0
1990-11-26,0.00446478789849143,0.000171302116402116,22.76,0.000142408631965261,0.00014241,0.0
1990-11-27,0.00501096209337814,0.000172810714285714,22.86,6.01349653402192e-05,6.0135e-05,0.0
1990-11-28,-0.000471661041681754,0.000174325925925926,22.96,2.98899974831469e-05,2.989e-05,0.0
1990-11-29,-0.00482369269249888,0.000189050297619048,23.91,6.23840851235648e-05,6.2384e-05,0.0
1990-11-30,0.0181640970419228,0.000162389417989418,22.16,0.000128981516721362,0.00012898,0.0
1990-12-03,0.0058175680846611,0.000164300297619048,22.29,5.51080902106628e-05,5.5108e-05,0.0
1990-12-04,0.00691831493372475,0.000160489715608466,22.03,0.000167144226733546,0.00016714,0.0
1990-12-05,0.0108797757473686,0.000145001190476191,20.94,4.47465252178608e-05,4.4747e-05,0.0
1990-12-06,-0.00257970673724267,0.000169201190476191,22.62,0.000184491931050358,0.00018449,0.0
1990-12-07,-0.00401937144754323,0.000168752678571429,22.59,5.36439551661977e-05,5.3644e-05,0.0
1990-12-10,0.00347222571074906,0.000183867857142857,23.58,7.19820055132893e-06,3.788e-05,3.06818090934444e-05
1990-12-11,-0.00747718375351615,0.000186528604497355,23.75,3.54720710948092e-05,3.5472e-05,0.0
1990-12-12,0.0114220817504414,0.000149748148148148,21.28,6.27645296145815e-05,6.2765e-05,0.0
1990-12-13,-0.00257759456163086,0.000175695271164021,23.05,1.48025689715753e-05,1.4803e-05,0.0
1990-12-14,-0.00768109116621467,0.000188102678571429,23.85,4.04225929908193e-05,4.0423e-05,0.0
1990-12-17,-0.00245083144549438,0.000204207175925926,24.85,6.70710395974459e-06,5.5703e-05,4.89959764807167e-05
1990-12-18,0.0122854289566362,0.000176611144179894,23.11,1.19771065840835e-05,4.1481e-05,2.95034826541533e-05
1990-12-19,0.000454373351247853,0.00017615291005291,23.08,1.81996108163066e-05,1.82e-05,0.0
1990-12-20,-0.000242306761544132,0.000176916964285714,23.13,9.40553605630082e-05,9.4055e-05,0.0
1990-12-21,0.00492544848783331,0.000169800132275132,22.66,1.27092847728896e-05,1.2709e-05,0.0
1990-12-24,-0.00559209497778118,0.000190952678571429,24.03,4.66686620796791e-06,4.9629e-05,4.49626187524467e-05
1990-12-26,0.00287552222353285,0.000193344047619048,24.18,9.17567151457753e-06,9.1757e-06,0.0
1990-12-27,-0.00776773635960714,0.000203550297619048,24.81,1.90139903795495e-05,1.9014e-05,0.0
1990-12-28,0.00130896047669295,0.000207507440476191,25.05,1.53981556253724e-05,1.5398e-05,0.0
1990-12-31,0.00455277442853207,0.000230127116402116,26.38,1.12421757711267e-05,1.1242e-05,0.0
1991-01-02,-0.0114823013710441,0.000234333465608466,26.62,4.75090612353878e-05,4.7509e-05,0.0
1991-01-03,-0.0140047942620971,0.000257964583333333,27.93,5.40486601614486e-05,5.4049e-05,0.0
1991-01-04,-0.0028308802405295,0.000244476223544974,27.19,6.15676306126757e-05,6.1568e-05,0.0
1991-01-07,-0.0174726335606442,0.000277150297619048,28.95,9.53627654722247e-05,9.5363e-05,0.0
1991-01-08,-0.00171336146239284,0.000305206481481482,30.38,6.2370453647385e-05,6.237e-05,0.0
1991-01-09,-0.0108878931235066,0.000366696428571429,33.3,0.000494276630994819,0.00049428,0.0
1991-01-10,0.0097122261148874,0.00032459289021164,31.33,6.00852409884707e-05,6.0085e-05,0.0
1991-01-11,0.00222307002123248,0.000352088921957672,32.63,1.85894142186208e-05,1.8589e-05,0.0
1991-01-14,-0.00873006245514684,0.000433346560846561,36.2,5.91246017576123e-05,0.00023628,0.000177158131193545
1991-01-15,0.00396027472982789,0.000432389417989418,36.16,2.77295680903653e-05,2.773e-05,0.0
1991-01-16,0.00774730021968193,0.000364497354497355,33.2,5.5961012377494e-05,5.5961e-05,0.0
1991-01-17,0.0366420971725215,0.000249174107142857,27.45,0.000337078107441609,0.0010101,0.00067304829313397
